age,gender,height,weight,activity,bmr,tdee,calorie_needs,protein,fat,carbs
37,F,188,115,Moderate,1933,2996,2996,225,83,337
49,F,170,59,Sedentary,1308,1570,1570,118,44,177
68,F,174,46,Light,1118,1537,1537,115,43,173
55,F,163,80,Active,1454,2508,2508,188,70,282
42,M,179,88,Very Active,1888,3587,3587,269,100,404
67,F,192,96,Moderate,1640,2542,2542,191,71,286
42,F,177,119,Light,1914,2632,2632,197,73,296
42,M,162,89,Very Active,1820,3458,3458,259,96,389
64,F,163,54,Active,1175,2027,2027,152,56,228
34,M,199,67,Very Active,1748,3321,3321,249,92,374
18,M,169,91,Active,2016,3478,3478,261,97,391
35,F,162,98,Active,1704,2939,2939,220,82,331
54,F,157,99,Sedentary,1616,1939,1939,145,54,218
50,F,190,46,Light,1245,1712,1712,128,48,193
63,M,159,72,Active,1458,2515,2515,189,70,283
74,F,178,79,Moderate,1409,2184,2184,164,61,246
22,M,159,51,Very Active,1410,2679,2679,201,74,301
38,M,161,52,Moderate,1342,2080,2080,156,58,234
68,M,185,63,Active,1434,2474,2474,186,69,278
26,M,200,91,Light,2120,2915,2915,219,81,328
40,F,176,74,Very Active,1504,2858,2858,214,79,322
36,F,163,114,Active,1851,3193,3193,239,89,359
53,F,152,110,Sedentary,1706,2047,2047,154,57,230
31,F,186,107,Sedentary,1879,2255,2255,169,63,254
69,M,157,69,Very Active,1374,2611,2611,196,73,294
72,M,164,85,Very Active,1605,3050,3050,229,85,343
75,M,156,98,Sedentary,1724,2069,2069,155,57,233
64,F,151,93,Moderate,1498,2322,2322,174,64,261
35,F,173,117,Very Active,1914,3637,3637,273,101,409
21,F,164,95,Very Active,1743,3312,3312,248,92,373
26,F,155,64,Light,1407,1935,1935,145,54,218
53,F,180,45,Very Active,1192,2265,2265,170,63,255
18,F,184,64,Light,1531,2105,2105,158,58,237
49,F,193,110,Active,1851,3193,3193,239,89,359
58,F,200,87,Light,1621,2229,2229,167,62,251
56,F,189,58,Active,1327,2289,2289,172,64,258
64,M,150,80,Sedentary,1517,1820,1820,136,51,205
71,F,177,113,Sedentary,1733,2080,2080,156,58,234
61,F,187,68,Active,1392,2401,2401,180,67,270
32,M,151,45,Sedentary,1234,1481,1481,111,41,167
69,M,172,112,Light,2023,2782,2782,209,77,313
69,F,150,64,Light,1205,1657,1657,124,46,186
24,F,183,91,Active,1752,3022,3022,227,84,340
33,M,199,60,Very Active,1660,3154,3154,237,88,355
67,M,198,98,Active,1971,3400,3400,255,94,382
56,M,198,71,Very Active,1672,3177,3177,238,88,357
38,F,161,87,Light,1586,2181,2181,164,61,245
21,M,162,76,Very Active,1765,3354,3354,252,93,377
20,M,196,49,Active,1572,2712,2712,203,75,305
38,F,167,87,Very Active,1605,3050,3050,229,85,343
36,M,180,78,Active,1793,3093,3093,232,86,348
24,M,158,102,Sedentary,2077,2492,2492,187,69,280
18,F,166,109,Light,1892,2602,2602,195,72,293
50,M,165,54,Active,1320,2277,2277,171,63,256
65,M,193,103,Moderate,2025,3139,3139,235,87,353
78,M,178,66,Very Active,1384,2630,2630,197,73,296
73,F,153,56,Light,1123,1544,1544,116,43,174
44,F,166,106,Sedentary,1752,2102,2102,158,58,236
48,F,159,78,Moderate,1454,2254,2254,169,63,254
78,M,173,120,Light,2083,2864,2864,215,80,322
19,F,164,55,Very Active,1382,2626,2626,197,73,295
29,M,187,109,Sedentary,2281,2737,2737,205,76,308
53,F,190,73,Very Active,1482,2816,2816,211,78,317
24,F,186,82,Moderate,1678,2601,2601,195,72,293
71,M,164,87,Very Active,1638,3112,3112,233,86,350
32,M,164,48,Moderate,1337,2072,2072,155,58,233
18,F,199,62,Active,1559,2689,2689,202,75,303
42,M,185,120,Moderate,2345,3635,3635,273,101,409
50,F,163,73,Moderate,1411,2187,2187,164,61,246
70,F,183,104,Moderate,1673,2593,2593,194,72,292
46,F,167,95,Sedentary,1644,1973,1973,148,55,222
63,M,186,89,Active,1816,3133,3133,235,87,352
23,M,185,45,Very Active,1448,2751,2751,206,76,309
23,M,167,117,Sedentary,2327,2792,2792,209,78,314
51,M,162,71,Active,1527,2634,2634,198,73,296
38,F,162,56,Active,1303,2248,2248,169,62,253
80,F,173,110,Very Active,1654,3143,3143,236,87,354
79,F,170,67,Light,1252,1722,1722,129,48,194
46,M,182,117,Active,2268,3912,3912,293,109,440
40,M,153,88,Light,1774,2439,2439,183,68,274
58,F,170,86,Active,1518,2619,2619,196,73,295
34,M,175,98,Active,2048,3533,3533,265,98,397
46,M,194,92,Light,1991,2738,2738,205,76,308
31,M,163,82,Very Active,1793,3407,3407,256,95,383
80,F,174,111,Moderate,1667,2584,2584,194,72,291
77,F,156,104,Sedentary,1559,1871,1871,140,52,210
22,M,176,55,Very Active,1545,2936,2936,220,82,330
61,M,166,109,Sedentary,1999,2399,2399,180,67,270
31,F,164,79,Sedentary,1552,1862,1862,140,52,209
23,F,193,87,Very Active,1750,3325,3325,249,92,374
66,M,177,80,Very Active,1635,3106,3106,233,86,349
79,M,160,113,Moderate,1922,2979,2979,223,83,335
49,F,192,65,Active,1431,2468,2468,185,69,278
23,F,196,84,Active,1732,2988,2988,224,83,336
31,M,182,77,Sedentary,1817,2180,2180,164,61,245
35,F,180,110,Active,1871,3227,3227,242,90,363
73,M,180,54,Moderate,1261,1955,1955,147,54,220
62,M,190,106,Active,2068,3567,3567,268,99,401
28,F,169,91,Active,1691,2917,2917,219,81,328
79,F,166,76,Moderate,1323,2051,2051,154,57,231
30,M,180,109,Sedentary,2242,2690,2690,202,75,303
65,F,177,70,Moderate,1362,2111,2111,158,59,237
41,M,190,96,Moderate,2054,3184,3184,239,88,358
30,F,168,70,Moderate,1485,2302,2302,173,64,259
25,M,171,65,Moderate,1638,2539,2539,190,71,286
42,F,181,113,Very Active,1871,3555,3555,267,99,400
62,F,157,81,Light,1415,1946,1946,146,54,219
62,M,175,67,Moderate,1474,2285,2285,171,63,257
70,M,156,117,Active,2007,3462,3462,260,96,389
79,F,156,60,Sedentary,1144,1373,1373,103,38,154
21,F,178,93,Light,1768,2431,2431,182,68,273
63,M,171,119,Active,2146,3702,3702,278,103,416
37,M,188,93,Moderate,2026,3140,3140,236,87,353
31,F,198,106,Sedentary,1907,2288,2288,172,64,257
66,F,154,66,Moderate,1249,1936,1936,145,54,218
40,M,195,60,Sedentary,1601,1921,1921,144,53,216
79,F,194,101,Sedentary,1640,1968,1968,148,55,221
71,F,170,74,Moderate,1351,2094,2094,157,58,236
74,M,181,53,Active,1247,2151,2151,161,60,242
66,M,160,53,Light,1192,1639,1639,123,46,184
70,M,199,99,Active,1972,3402,3402,255,94,383
68,M,181,69,Active,1495,2579,2579,193,72,290
58,M,153,50,Very Active,1163,2210,2210,166,61,249
42,F,161,117,Moderate,1846,2861,2861,215,79,322
79,M,191,59,Moderate,1347,2088,2088,157,58,235
61,F,173,60,Light,1274,1752,1752,131,49,197
74,F,189,58,Sedentary,1249,1499,1499,112,42,169
46,F,188,45,Active,1247,2151,2151,161,60,242
21,F,197,103,Moderate,1919,2974,2974,223,83,335
23,F,185,69,Sedentary,1559,1871,1871,140,52,210
19,F,193,57,Sedentary,1490,1788,1788,134,50,201
58,M,196,114,Light,2227,3062,3062,230,85,344
60,F,195,81,Very Active,1541,2928,2928,220,81,329
28,M,199,90,Light,2090,2874,2874,216,80,323
75,M,157,98,Moderate,1729,2680,2680,201,74,302
46,M,196,55,Light,1505,2069,2069,155,57,233
46,F,186,71,Sedentary,1481,1777,1777,133,49,200
80,F,151,110,Very Active,1586,3013,3013,226,84,339
65,F,181,109,Very Active,1735,3296,3296,247,92,371
47,F,173,58,Light,1316,1810,1810,136,50,204
71,F,182,108,Moderate,1703,2640,2640,198,73,297
64,F,152,98,Sedentary,1548,1858,1858,139,52,209
68,M,190,79,Active,1672,2884,2884,216,80,324
42,M,174,65,Sedentary,1556,1867,1867,140,52,210
27,M,180,65,Light,1670,2296,2296,172,64,258
26,M,194,64,Moderate,1729,2680,2680,201,74,302
18,F,175,57,Moderate,1439,2230,2230,167,62,251
48,F,174,80,Light,1519,2089,2089,157,58,235
39,F,195,81,Very Active,1632,3101,3101,233,86,349
62,F,199,58,Sedentary,1332,1598,1598,120,44,180
29,M,179,107,Light,2216,3047,3047,229,85,343
26,M,182,71,Light,1765,2427,2427,182,67,273
40,F,167,65,Light,1393,1915,1915,144,53,215
52,F,173,107,Active,1748,3015,3015,226,84,339
68,F,177,104,Very Active,1663,3160,3160,237,88,356
33,F,194,74,Moderate,1590,2464,2464,185,68,277
18,F,152,46,Very Active,1266,2405,2405,180,67,271
53,M,194,64,Light,1576,2167,2167,163,60,244
30,M,182,57,Sedentary,1555,1866,1866,140,52,210
41,F,196,95,Light,1756,2414,2414,181,67,272
80,M,175,76,Sedentary,1492,1790,1790,134,50,201
77,F,162,69,Sedentary,1254,1505,1505,113,42,169
43,F,195,69,Very Active,1504,2858,2858,214,79,322
47,F,185,57,Moderate,1344,2083,2083,156,58,234
29,F,185,61,Active,1459,2517,2517,189,70,283
34,F,172,120,Sedentary,1943,2332,2332,175,65,262
38,F,199,101,Very Active,1834,3485,3485,261,97,392
31,M,171,118,Light,2314,3182,3182,239,88,358
22,F,188,46,Moderate,1360,2108,2108,158,59,237
70,M,178,102,Sedentary,1912,2294,2294,172,64,258
54,M,182,114,Active,2182,3764,3764,282,105,423
76,F,164,86,Light,1422,1955,1955,147,54,220
25,F,199,91,Active,1797,3100,3100,232,86,349
32,F,196,95,Sedentary,1795,2154,2154,162,60,242
25,M,187,78,Active,1889,3259,3259,244,91,367
37,F,158,91,Sedentary,1618,1942,1942,146,54,218
50,F,180,56,Sedentary,1307,1568,1568,118,44,176
51,M,181,115,Moderate,2208,3422,3422,257,95,385
54,F,200,67,Sedentary,1453,1744,1744,131,48,196
66,M,158,83,Sedentary,1584,1901,1901,143,53,214
65,F,180,117,Active,1806,3115,3115,234,87,350
65,M,155,56,Very Active,1213,2305,2305,173,64,259
56,M,170,104,Sedentary,1980,2376,2376,178,66,267
76,F,191,117,Sedentary,1792,2150,2150,161,60,242
40,F,172,60,Light,1362,1873,1873,140,52,211
19,M,200,77,Active,1972,3402,3402,255,94,383
30,F,188,46,Light,1325,1822,1822,137,51,205
56,M,194,95,Very Active,1974,3751,3751,281,104,422
79,M,158,76,Moderate,1416,2195,2195,165,61,247
63,F,160,72,Active,1336,2305,2305,173,64,259
78,F,176,114,Sedentary,1709,2051,2051,154,57,231
40,M,161,66,Light,1518,2087,2087,157,58,235
29,F,158,46,Moderate,1237,1917,1917,144,53,216
42,M,160,104,Sedentary,2011,2413,2413,181,67,271
38,F,184,93,Moderate,1713,2655,2655,199,74,299
67,F,165,63,Light,1251,1720,1720,129,48,194
70,F,182,76,Sedentary,1411,1693,1693,127,47,190
39,F,180,62,Moderate,1410,2186,2186,164,61,246
53,F,168,55,Moderate,1247,1933,1933,145,54,217
39,M,165,80,Very Active,1731,3289,3289,247,91,370
71,F,167,107,Sedentary,1647,1976,1976,148,55,222
34,F,157,99,Moderate,1702,2638,2638,198,73,297
56,M,155,115,Light,2055,2826,2826,212,78,318
20,F,169,72,Very Active,1550,2945,2945,221,82,331
56,M,179,98,Sedentary,1942,2330,2330,175,65,262
62,M,160,54,Very Active,1228,2333,2333,175,65,262
70,F,160,108,Active,1639,2827,2827,212,79,318
47,M,171,58,Active,1419,2448,2448,184,68,275
55,F,175,92,Very Active,1602,3044,3044,228,85,342
45,F,162,80,Sedentary,1494,1793,1793,134,50,202
57,M,186,54,Very Active,1381,2624,2624,197,73,295
38,M,158,92,Very Active,1863,3540,3540,266,98,398
69,F,182,101,Moderate,1647,2553,2553,191,71,287
51,M,188,106,Active,2121,3659,3659,274,102,412
41,F,186,67,Sedentary,1466,1759,1759,132,49,198
40,M,186,93,Moderate,2000,3100,3100,232,86,349
66,F,152,91,Light,1474,2027,2027,152,56,228
56,F,150,74,Active,1354,2336,2336,175,65,263
79,F,184,56,Moderate,1193,1849,1849,139,51,208
45,M,161,66,Sedentary,1490,1788,1788,134,50,201
66,M,169,69,Active,1449,2500,2500,188,69,281
62,M,170,67,Sedentary,1450,1740,1740,130,48,196
45,F,186,100,Moderate,1754,2719,2719,204,76,306
79,M,153,86,Sedentary,1526,1831,1831,137,51,206
51,F,175,83,Moderate,1536,2381,2381,179,66,268
55,F,195,75,Very Active,1507,2863,2863,215,80,322
38,M,156,83,Sedentary,1733,2080,2080,156,58,234
38,M,151,113,Very Active,2111,4011,4011,301,111,451
21,M,197,88,Light,2093,2878,2878,216,80,324
36,F,161,89,Moderate,1613,2500,2500,188,69,281
48,M,167,87,Sedentary,1783,2140,2140,160,59,241
48,M,172,106,Active,2061,3555,3555,267,99,400
27,F,167,74,Active,1532,2643,2643,198,73,297
34,F,164,81,Moderate,1557,2413,2413,181,67,271
80,F,197,70,Active,1359,2344,2344,176,65,264
41,F,190,62,Moderate,1432,2220,2220,166,62,250
64,M,157,75,Very Active,1483,2818,2818,211,78,317
31,M,176,108,Light,2204,3030,3030,227,84,341
54,F,194,100,Sedentary,1739,2087,2087,157,58,235
51,M,171,93,Active,1865,3217,3217,241,89,362
70,M,172,73,Active,1494,2577,2577,193,72,290
40,F,170,95,Active,1680,2898,2898,217,80,326
60,M,187,112,Moderate,2146,3326,3326,249,92,374
26,M,166,72,Light,1702,2340,2340,176,65,263
35,M,199,117,Sedentary,2412,2894,2894,217,80,326
65,M,191,75,Very Active,1641,3118,3118,234,87,351
33,M,165,100,Active,2033,3507,3507,263,97,395
52,M,197,71,Very Active,1690,3211,3211,241,89,361
70,F,161,94,Moderate,1512,2344,2344,176,65,264
25,M,186,107,Light,2273,3125,3125,234,87,352
43,F,173,102,Moderate,1741,2699,2699,202,75,304
40,F,194,63,Moderate,1458,2260,2260,170,63,254
63,F,172,68,Active,1336,2305,2305,173,64,259
39,F,178,84,Very Active,1607,3053,3053,229,85,343
36,F,198,58,Light,1441,1981,1981,149,55,223
63,M,173,68,Moderate,1472,2282,2282,171,63,257
33,M,157,98,Very Active,1967,3737,3737,280,104,420
34,F,155,98,Light,1687,2320,2320,174,64,261
72,M,167,57,Active,1245,2148,2148,161,60,242
71,M,174,97,Sedentary,1820,2184,2184,164,61,246
27,M,157,45,Moderate,1291,2001,2001,150,56,225
35,F,200,113,Light,1961,2696,2696,202,75,303
29,M,157,94,Active,1936,3340,3340,250,93,376
41,M,165,85,Moderate,1786,2768,2768,208,77,311
46,M,180,69,Very Active,1615,3068,3068,230,85,345
67,F,175,82,Active,1458,2515,2515,189,70,283
55,M,177,67,Light,1523,2094,2094,157,58,236
79,F,156,63,Moderate,1171,1815,1815,136,50,204
62,F,155,100,Active,1584,2732,2732,205,76,307
57,F,182,88,Light,1578,2170,2170,163,60,244
24,F,187,48,Sedentary,1367,1640,1640,123,46,184
78,F,198,71,Light,1380,1898,1898,142,53,214
63,M,165,72,Active,1487,2565,2565,192,71,289
32,F,161,47,Active,1242,2142,2142,161,60,241
25,F,186,46,Moderate,1341,2079,2079,156,58,234
71,M,159,105,Active,1855,3200,3200,240,89,360
31,F,178,106,Active,1845,3183,3183,239,88,358
78,M,169,98,Active,1769,3052,3052,229,85,343
30,F,150,54,Active,1282,2211,2211,166,61,249
55,M,190,61,Very Active,1505,2860,2860,214,79,322
47,F,173,72,Active,1446,2494,2494,187,69,281
71,M,190,51,Light,1280,1760,1760,132,49,198
55,M,160,45,Active,1147,1979,1979,148,55,223
35,M,186,91,Sedentary,2001,2401,2401,180,67,270
50,M,200,54,Sedentary,1488,1786,1786,134,50,201
57,M,184,67,Light,1545,2124,2124,159,59,239
40,M,197,61,Light,1624,2233,2233,167,62,251
35,M,192,112,Active,2312,3988,3988,299,111,449
76,F,156,68,Very Active,1231,2339,2339,175,65,263
45,F,175,115,Sedentary,1858,2230,2230,167,62,251
55,F,158,92,Moderate,1550,2402,2402,180,67,270
75,M,175,106,Sedentary,1922,2306,2306,173,64,259
37,F,178,78,Light,1560,2145,2145,161,60,241
46,F,154,95,Very Active,1604,3048,3048,229,85,343
60,M,188,75,Very Active,1655,3144,3144,236,87,354
18,F,197,56,Sedentary,1498,1798,1798,135,50,202
71,M,171,61,Very Active,1323,2514,2514,189,70,283
44,M,197,83,Moderate,1896,2939,2939,220,82,331
51,M,156,80,Very Active,1619,3076,3076,231,85,346
22,F,168,107,Sedentary,1862,2234,2234,168,62,251
44,M,156,93,Very Active,1833,3483,3483,261,97,392
71,M,197,84,Moderate,1756,2722,2722,204,76,306
49,F,189,111,Sedentary,1847,2216,2216,166,62,249
75,M,150,109,Very Active,1843,3502,3502,263,97,394
59,F,176,50,Active,1200,2070,2070,155,58,233
59,F,153,114,Moderate,1720,2666,2666,200,74,300
26,F,174,87,Very Active,1679,3190,3190,239,89,359
30,F,150,62,Very Active,1356,2576,2576,193,72,290
73,M,156,67,Light,1320,1815,1815,136,50,204
23,M,185,93,Moderate,2092,3243,3243,243,90,365
74,M,161,82,Light,1539,2116,2116,159,59,238
26,M,153,55,Light,1412,1942,1942,146,54,218
77,F,169,106,Moderate,1618,2508,2508,188,70,282
34,M,197,91,Very Active,2060,3914,3914,294,109,440
76,M,165,73,Light,1427,1962,1962,147,54,221
55,M,163,47,Active,1188,2049,2049,154,57,231
20,M,159,56,Sedentary,1488,1786,1786,134,50,201
56,M,164,61,Sedentary,1375,1650,1650,124,46,186
30,F,190,65,Sedentary,1507,1808,1808,136,50,203
45,M,190,87,Light,1910,2626,2626,197,73,295
66,M,182,46,Moderate,1203,1865,1865,140,52,210
33,M,151,54,Very Active,1349,2563,2563,192,71,288
21,F,166,118,Active,1962,3384,3384,254,94,381
78,M,193,76,Light,1590,2186,2186,164,61,246
34,M,157,117,Active,2216,3823,3823,287,106,430
79,F,196,79,Very Active,1443,2742,2742,206,76,308
40,M,187,87,Very Active,1924,3656,3656,274,102,411
66,F,177,65,Light,1311,1803,1803,135,50,203
45,F,173,109,Moderate,1797,2785,2785,209,77,313
65,F,173,81,Active,1451,2503,2503,188,70,282
44,M,154,74,Moderate,1569,2432,2432,182,68,274
41,F,198,52,Very Active,1364,2592,2592,194,72,292
32,M,161,81,Active,1764,3043,3043,228,85,342
61,M,153,75,Sedentary,1481,1777,1777,133,49,200
37,M,153,105,Sedentary,2019,2423,2423,182,67,273
39,F,186,119,Light,1955,2688,2688,202,75,302
33,F,158,59,Moderate,1340,2077,2077,156,58,234
61,M,200,49,Active,1358,2343,2343,176,65,264
49,F,167,59,Light,1298,1785,1785,134,50,201
77,F,193,47,Moderate,1147,1778,1778,133,49,200
79,F,164,48,Very Active,1057,2008,2008,151,56,226
65,F,151,115,Moderate,1697,2630,2630,197,73,296
22,M,179,107,Active,2256,3892,3892,292,108,438
50,F,182,56,Light,1313,1805,1805,135,50,203
51,F,169,58,Active,1287,2220,2220,166,62,250
71,M,160,85,Active,1592,2746,2746,206,76,309
20,F,181,48,Light,1366,1878,1878,141,52,211
33,F,169,79,Very Active,1559,2962,2962,222,82,333
21,F,166,106,Very Active,1851,3517,3517,264,98,396
44,F,157,84,Sedentary,1520,1824,1824,137,51,205
33,F,192,109,Active,1907,3290,3290,247,91,370
25,F,197,78,Moderate,1671,2590,2590,194,72,291
38,F,175,84,Moderate,1602,2483,2483,186,69,279
53,F,181,91,Sedentary,1620,1944,1944,146,54,219
40,F,167,78,Sedentary,1513,1816,1816,136,50,204
20,F,189,75,Active,1640,2829,2829,212,79,318
24,F,165,91,Very Active,1696,3222,3222,242,90,362
20,F,150,82,Very Active,1584,3010,3010,226,84,339
49,F,192,46,Active,1256,2167,2167,163,60,244
67,F,155,80,Light,1377,1893,1893,142,53,213
49,F,158,45,Moderate,1141,1769,1769,133,49,199
23,F,191,62,Moderate,1513,2345,2345,176,65,264
59,M,193,89,Light,1872,2574,2574,193,72,290
36,M,170,103,Sedentary,2080,2496,2496,187,69,281
31,M,185,77,Light,1832,2519,2519,189,70,283
73,F,179,48,Light,1130,1554,1554,117,43,175
68,F,169,56,Very Active,1195,2270,2270,170,63,255
27,M,176,75,Active,1784,3077,3077,231,85,346
65,F,151,61,Sedentary,1198,1438,1438,108,40,162
52,F,152,106,Sedentary,1674,2009,2009,151,56,226
55,M,175,96,Moderate,1902,2948,2948,221,82,332
54,F,164,100,Active,1647,2841,2841,213,79,320
61,F,190,50,Light,1234,1697,1697,127,47,191
60,M,173,49,Active,1234,2129,2129,160,59,240
35,M,168,86,Very Active,1848,3511,3511,263,98,395
77,F,183,92,Very Active,1532,2911,2911,218,81,327
22,M,175,77,Moderate,1835,2844,2844,213,79,320
40,F,191,67,Active,1486,2563,2563,192,71,288
54,M,169,74,Active,1584,2732,2732,205,76,307
62,F,196,108,Very Active,1785,3392,3392,254,94,382
48,M,164,69,Active,1527,2634,2634,198,73,296
29,M,178,115,Light,2319,3189,3189,239,89,359
61,F,189,51,Light,1241,1706,1706,128,47,192
18,F,183,74,Very Active,1621,3080,3080,231,86,346
20,M,188,99,Moderate,2203,3415,3415,256,95,384
54,M,174,92,Sedentary,1849,2219,2219,166,62,250
47,F,150,88,Sedentary,1523,1828,1828,137,51,206
28,F,184,100,Sedentary,1821,2185,2185,164,61,246
20,M,178,90,Sedentary,2035,2442,2442,183,68,275
65,M,200,95,Moderate,1952,3026,3026,227,84,340
41,M,167,80,Light,1729,2377,2377,178,66,267
80,F,160,61,Light,1161,1596,1596,120,44,180
69,M,180,46,Active,1177,2030,2030,152,56,228
66,M,170,118,Light,2110,2901,2901,218,81,326
51,M,165,71,Sedentary,1542,1850,1850,139,51,208
46,F,171,75,Sedentary,1472,1766,1766,132,49,199
36,M,161,115,Active,2197,3790,3790,284,105,426
69,M,200,61,Sedentary,1474,1769,1769,133,49,199
26,M,198,91,Very Active,2110,4009,4009,301,111,451
63,M,186,86,Active,1775,3062,3062,230,85,344
41,M,192,87,Light,1943,2672,2672,200,74,301
37,F,171,62,Moderate,1390,2154,2154,162,60,242
71,M,158,64,Active,1301,2244,2244,168,62,252
77,F,158,73,Light,1279,1759,1759,132,49,198
49,F,190,106,Very Active,1804,3428,3428,257,95,386
44,F,152,48,Sedentary,1172,1406,1406,105,39,158
71,M,173,81,Light,1601,2201,2201,165,61,248
49,M,150,115,Active,2071,3572,3572,268,99,402
79,M,181,83,Moderate,1620,2511,2511,188,70,282
60,M,187,56,Moderate,1395,2162,2162,162,60,243
60,F,193,99,Very Active,1701,3232,3232,242,90,364
67,F,163,45,Sedentary,1079,1295,1295,97,36,146
25,F,172,94,Sedentary,1741,2089,2089,157,58,235
48,M,182,88,Sedentary,1868,2242,2242,168,62,252
80,M,157,119,Light,1982,2725,2725,204,76,307
71,F,150,60,Moderate,1160,1798,1798,135,50,202
29,F,174,79,Sedentary,1592,1910,1910,143,53,215
62,M,192,58,Sedentary,1435,1722,1722,129,48,194
36,F,158,69,Light,1419,1951,1951,146,54,219
52,M,199,79,Very Active,1807,3433,3433,257,95,386
69,F,153,107,Moderate,1612,2499,2499,187,69,281
35,F,166,76,Light,1513,2080,2080,156,58,234
63,M,182,62,Sedentary,1435,1722,1722,129,48,194
79,F,190,49,Very Active,1147,2179,2179,163,61,245
71,F,180,60,Moderate,1253,1942,1942,146,54,218
67,M,188,89,Sedentary,1803,2164,2164,162,60,243
25,F,162,93,Moderate,1701,2637,2637,198,73,297
71,M,152,48,Active,1058,1825,1825,137,51,205
45,M,164,119,Moderate,2214,3432,3432,257,95,386
35,F,196,117,Light,1985,2729,2729,205,76,307
58,F,159,72,Sedentary,1355,1626,1626,122,45,183
21,M,153,76,Moderate,1722,2669,2669,200,74,300
25,F,195,116,Active,2016,3478,3478,261,97,391
50,M,190,48,Moderate,1359,2106,2106,158,58,237
23,M,189,55,Sedentary,1602,1922,1922,144,53,216
71,F,187,69,Light,1358,1867,1867,140,52,210
38,M,156,72,Light,1586,2181,2181,164,61,245
64,M,174,49,Active,1217,2099,2099,157,58,236
49,M,197,102,Moderate,2122,3289,3289,247,91,370
39,F,167,58,Sedentary,1332,1598,1598,120,44,180
29,M,162,81,Very Active,1786,3393,3393,254,94,382
52,M,172,117,Moderate,2186,3388,3388,254,94,381
19,M,173,87,Moderate,1976,3063,3063,230,85,345
73,F,187,86,Light,1506,2071,2071,155,58,233
27,F,198,64,Sedentary,1536,1843,1843,138,51,207
53,M,151,82,Light,1611,2215,2215,166,62,249
39,F,165,81,Sedentary,1539,1847,1847,139,51,208
52,F,163,69,Active,1365,2355,2355,177,65,265
27,M,154,51,Sedentary,1357,1628,1628,122,45,183
56,F,154,57,Sedentary,1209,1451,1451,109,40,163
37,M,162,68,Moderate,1567,2429,2429,182,67,273
18,F,174,115,Active,1972,3402,3402,255,94,383
69,M,192,54,Sedentary,1341,1609,1609,121,45,181
74,M,186,89,Very Active,1753,3331,3331,250,93,375
67,F,179,107,Very Active,1701,3232,3232,242,90,364
37,F,180,107,Very Active,1834,3485,3485,261,97,392
37,F,174,71,Light,1483,2039,2039,153,57,229
68,M,195,91,Sedentary,1857,2228,2228,167,62,251
64,F,169,86,Moderate,1489,2308,2308,173,64,260
65,F,195,105,Moderate,1741,2699,2699,202,75,304
22,F,198,64,Light,1558,2142,2142,161,60,241
56,M,198,79,Moderate,1779,2757,2757,207,77,310
20,F,182,67,Sedentary,1544,1853,1853,139,51,208
58,M,153,105,Moderate,1900,2945,2945,221,82,331
63,M,195,48,Light,1310,1801,1801,135,50,203
41,M,155,111,Moderate,2087,3235,3235,243,90,364
76,F,183,83,Active,1453,2506,2506,188,70,282
49,F,161,105,Light,1705,2344,2344,176,65,264
44,M,191,78,Sedentary,1800,2160,2160,162,60,243
30,F,175,66,Sedentary,1470,1764,1764,132,49,198
21,M,195,112,Moderate,2405,3728,3728,280,104,419
78,M,192,118,Very Active,2148,4081,4081,306,113,459
60,M,187,75,Sedentary,1650,1980,1980,148,55,223
78,M,189,120,Light,2160,2970,2970,223,82,334
62,M,196,105,Moderate,2084,3230,3230,242,90,363
53,F,160,46,Moderate,1139,1765,1765,132,49,199
73,F,194,110,Light,1750,2406,2406,180,67,271
31,M,176,102,Active,2123,3662,3662,275,102,412
36,M,176,103,Sedentary,2109,2531,2531,190,70,285
29,F,196,69,Sedentary,1567,1880,1880,141,52,212
40,F,187,95,Sedentary,1732,2078,2078,156,58,234
38,F,178,71,Active,1491,2572,2572,193,71,289
37,M,196,98,Moderate,2132,3305,3305,248,92,372
44,F,175,88,Moderate,1613,2500,2500,188,69,281
43,F,164,102,Moderate,1713,2655,2655,199,74,299
63,F,178,85,Very Active,1512,2873,2873,215,80,323
35,M,176,78,Very Active,1779,3380,3380,254,94,380
25,M,164,82,Sedentary,1832,2198,2198,165,61,247
57,F,173,73,Light,1412,1942,1942,146,54,218
63,M,154,97,Moderate,1769,2742,2742,206,76,308
75,F,155,78,Very Active,1324,2516,2516,189,70,283
52,M,160,84,Active,1686,2908,2908,218,81,327
67,M,199,90,Very Active,1869,3551,3551,266,99,399
34,F,192,71,Active,1552,2677,2677,201,74,301
66,F,167,113,Very Active,1724,3276,3276,246,91,369
21,M,184,64,Moderate,1710,2650,2650,199,74,298
56,F,184,77,Moderate,1487,2305,2305,173,64,259
35,F,163,52,Sedentary,1282,1538,1538,115,43,173
25,F,179,83,Moderate,1661,2575,2575,193,72,290
57,M,170,108,Active,2027,3497,3497,262,97,393
49,F,185,101,Moderate,1742,2700,2700,202,75,304
68,M,179,46,Light,1178,1620,1620,122,45,182
51,M,185,120,Sedentary,2294,2753,2753,206,76,310
23,M,164,112,Moderate,2245,3480,3480,261,97,392
64,F,177,81,Sedentary,1468,1762,1762,132,49,198
23,F,199,46,Moderate,1390,2154,2154,162,60,242
75,F,179,108,Moderate,1676,2598,2598,195,72,292
35,M,168,91,Active,1915,3303,3303,248,92,372
